result_mean,J
"[[0 3]
 [3 0]
 [4 4]]",1465.6820381548534
"[[2.0944630111367633, 2.7943464972541547]]",2724.17849926965
"[[0.013874290824947995, 2.4303496557397968], [4.142026513665851, 3.152565611125428]]",1835.7073960296866
"[[3.082795286782234, -0.08684195622242272], [4.133881155951968, 3.9428136853399134], [-0.2964368132298188, 2.8394190924347673]]",1394.0218933883816
"[[4.871259264715776, 3.853794002964449], [-0.9888381349376666, 2.423417422653936], [1.7165684499699376, 3.867765310425493], [3.082795286782234, -0.08684195622242272]]",1152.9223993763933
"[[-1.7361138352973624, 1.9656892306566267], [2.4626956471318198, 4.058240877727232], [3.042164561685059, -0.09536394545387117], [5.14805581853427, 3.788911364733396], [0.08901829735321772, 3.0803006745013692]]",1039.1188242752728
"[[4.3738496210540845, 0.09708402031333264], [-1.1195333979750028, 2.3838356177006164], [3.5911729703010855, 4.090227409797924], [1.9406011269611716, -0.1734869547350176], [1.1816572813983495, 3.7048702446309925], [5.679281013546013, 3.6850335744590046]]",971.7615340048909
"[[0.021468736154090243, 3.0218092476025995], [6.141586708502445, 3.602255714413049], [4.1542051527128745, 4.006239578874041], [-1.7773883039598721, 1.9655315428955453], [4.402498354750541, 0.11943302105312471], [1.9929595077437343, 4.035634840549466], [2.029399549878239, -0.23162618478947272]]",879.9581945366248
"[[-0.49975143758650026, 2.7066202943780326], [4.294757444844623, 3.9748586411653184], [2.029399549878239, -0.23162618478947272], [6.1922607162274135, 3.5732677207618715], [4.402498354750541, 0.11943302105312471], [2.4214940604286705, 4.1755639496846655], [-2.116829971025698, 1.8172185232054003], [0.8873238482042412, 3.495574605988804]]",822.3992230494788
"[[6.1922607162274135, 3.5732677207618715], [0.8827609409562943, 3.5017707141247243], [2.7261682986442675, -0.22009379671275772], [4.294757444844623, 3.9748586411653184], [-2.1725610530547, 1.9468580863024505], [-0.5276267174456191, 2.7435525426508374], [4.774147256032173, 0.20904841656540468], [2.4214940604286705, 4.1755639496846655], [0.7151894226331349, -0.02673030796702469]]",793.2616728755783
